,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
53,37121015,2021-01-29,2021-01-31,Apartamento inteiro em Tortuga,"Tortuga Enseada, cozy apto, 210m from the beach",5 hóspedes,2 quartos,5 camas,2 banheiros,Permitido animais,Estacionamento gratuito,Vista para o mar,Cozinha,4.70,23,189,427,Novo preço mais baixo
54,20283404,2021-01-29,2021-01-31,Apartamento inteiro em Santos,BOOK SANTOS - Unlimited 1111 - Um Resort em Santos,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Jacuzzi,Ar-condicionado,4.74,35,374,878,Raridade
55,33687829,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaguinha,Lindo Studio na Praia do Gonzaguinha,4 hóspedes,Estúdio,2 camas,1 banheiro,Self check-In,Ar-condicionado,Cozinha,Elevador,4.94,33,158,365,Novo preço mais baixo
56,22896213,2021-01-29,2021-01-31,Suíte de visitas inteira em Vila Julia,Praia da Enseada - Suite 2,4 hóspedes,1 quarto,0 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.91,87,331,662,Novo preço mais baixo
57,36033418,2021-01-29,2021-01-31,Apartamento inteiro em Santos,Flat Estanconfor Santos com Jacuzzi privativa !,4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.83,47,436,952,Raridade
58,40844259,2021-01-29,2021-01-31,Apartamento inteiro em Santos,Book Santos - Unlimited  1611  Vista Mar,4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.88,17,291,712,Raridade
59,24115709,2021-01-29,2021-01-31,Apartamento inteiro em Santos,wi-fi/ar condicionado/ TV 4k/ utensílios praia,3 hóspedes,1 quarto,4 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.95,104,154,403,Raridade
60,46287455,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,"Studio 207, Vista para o Mar com WI-FI",4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.50,4,237,608,Novo preço mais baixo
61,16548139,2021-01-29,2021-01-31,Apartamento inteiro em Santos,Apt de Luxo na Avenida da Praia com Garagem,4 hóspedes,2 quartos,4 camas,2 banheiros,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.61,198,291,662,Novo preço mais baixo
62,44914895,2021-01-29,2021-01-31,Loft inteiro em Ilha Porchat,Estúdio Ilha Residence - Vista Espetacular do mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,5.0,15,264,628,Novo preço mais baixo
63,36032633,2021-01-29,2021-01-31,Condomínio inteiro em Santos,"Apt. duplex Santos,piscina int.Predi frente ao mar",5 hóspedes,3 quartos,4 camas,1 banheiro e meio,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.80,46,343,685,Novo preço mais baixo
64,46281553,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,Apto Gonzaga Lado Shopping Miramar 45,4 hóspedes,1 quarto,3 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,5.0,9,183,365,Novo preço mais baixo
65,22135736,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,Apto para momentos inesquecíveis em São Vicente,6 hóspedes,2 quartos,3 camas,2 banheiros,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.89,102,177,523,Raridade
66,46033720,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,"Studio 607, frente ao mar, completo  todo decorado",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,4,237,608,Raridade
67,42517975,2021-01-29,2021-01-31,Condomínio inteiro em São Vicente,Ótima localização frente ao mar Praia Itararé,2 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,4.36,11,131,331,Novo preço mais baixo
68,21675628,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,Studio Holliday - Linda vista da praia (Santos/SP),4 hóspedes,Estúdio,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.93,84,171,461,Raridade
69,42170485,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,"Kit a beira mar, acomodação para 3 pessoas, Santos",3 hóspedes,Estúdio,3 camas,1 banheiro,Cozinha,Permitido animais,Elevador,Vista para o mar,4.73,11,120,320,Novo preço mais baixo
70,46192069,2021-01-29,2021-01-31,Condomínio inteiro em Itararé,Vista para o Mar 6 pessoas Santos Sao Vicente,6 hóspedes,1 quarto,5 camas,2 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Máquina de Lavar,4.75,4,136,422,Novo preço mais baixo
71,40200361,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,Apartamento de Frente a Praia!,4 hóspedes,1 quarto,2 camas,1 banheiro,Cozinha,Estacionamento gratuito,Academia,Elevador,4.92,36,120,240,Novo preço mais baixo
72,45884578,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,"Lindo Kit Novíssimo, Pé na Areia no Itararé.",2 hóspedes,Estúdio,4 camas,1 banheiro,Wi-Fi,Cozinha,Elevador,Vista para as águas,5.0,9,150,379,Novo preço mais baixo
73,44860968,2021-01-29,2021-01-31,Apartamento inteiro em Centro,"Praia do Gonzaguinha, quintal de casa - SV",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,8,119,308,Novo preço mais baixo
74,46488250,2021-01-29,2021-01-31,Apartamento inteiro em Centro,🌴 PÉ NA AREIA | Praia do Gonzaguinha,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.46,13,182,462,Raridade
75,45954237,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,Kit pé na areia com vista mar Praia  Milionários,2 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,5.0,5,121,342,Novo preço mais baixo
76,47517305,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,Book Santos - Estanconfor 2010 - Sacada ampla com a melhor vista Mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.67,3,337,804,Raridade
79,28105266,2021-01-29,2021-01-31,Apartamento inteiro em Boqueirão,"Delicioso ap. em Santos
Varanda com vista pro mar",8 hóspedes,3 quartos,6 camas,2 banheiros,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.96,55,365,879,Novo preço mais baixo
