,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
88,47157768,2021-02-26,2021-02-28,Casa inteira em Centro,"Casa de praia • Centro, Peruíbe.",8 hóspedes,2 quartos,6 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.33,3,274,548,Novo preço mais baixo
89,46937984,2021-02-19,2021-02-21,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Piscina,4.67,3,1.022,2.192,Novo preço mais baixo
90,45722207,2021-02-26,2021-02-28,Casa inteira em Parque Oasis,Casa aconchegante,8 hóspedes,3 quartos,6 camas,3 banheiros,Wi-Fi,Jacuzzi,Ar-condicionado,Cozinha,5.0,6,760,1.769,Novo preço mais baixo
91,46937984,2021-02-26,2021-02-28,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Piscina,4.67,3,749,1.647,Novo preço mais baixo
93,45590553,2021-02-26,2021-02-28,Casa inteira em Vila Romar,Casa de praia com piscina 15 pessoas em Peruíbe SP,15 hóspedes,5 quartos,8 camas,5 banheiros,Cozinha,Estacionamento gratuito,Piscina,Permitido animais,4.67,3,913,1.826,Novo preço mais baixo
103,44683168,2021-02-26,2021-02-28,Casa inteira em Bal Tres Marias,"Casa charmosa e enorme à 67m da praia, negociamos",15 hóspedes,4 quartos,8 camas,3 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.67,6,769,1.687,Novo preço mais baixo
107,45590553,2021-02-26,2021-02-28,Casa inteira em Vila Romar,Casa de praia com piscina 15 pessoas em Peruíbe SP,15 hóspedes,5 quartos,8 camas,5 banheiros,Piscina,Cozinha,Estacionamento gratuito,Permitido animais,4.67,3,913,1.826,Novo preço mais baixo
117,41062060,2021-02-19,2021-02-21,Casa inteira em Vila Peruibe,Condomínio Bonganville 3,10 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.53,30,457,913,Raridade
121,32547945,2021-02-26,2021-02-28,Casa inteira em Estância Balneária Belmira Nova,CASA PRAIA PERUÍBE 340m PISCINA WIFI CHURRASQUEIRA,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.92,13,617,1.383,Novo preço mais baixo
122,45722207,2021-02-19,2021-02-21,Casa inteira em Parque Oasis,Casa aconchegante,8 hóspedes,3 quartos,6 camas,3 banheiros,Wi-Fi,Jacuzzi,Ar-condicionado,Cozinha,5.0,6,760,1.769,Novo preço mais baixo
123,37830479,2021-02-26,2021-02-28,Casa inteira em Balneario Gaivotas,Casa com Piscina Em Itanhaém,12 hóspedes,3 quartos,12 camas,2 banheiros e meio,Wi-Fi,Cozinha,Estacionamento gratuito,Piscina,5.0,6,492,1.164,Novo preço mais baixo
127,39549389,2021-02-26,2021-02-28,Casa inteira em Baougainville Residencial,CASA COND FECH 4 SUITES PISCINA E LASER - PERUÍBE,8 hóspedes,4 quartos,6 camas,5 banheiros e meio,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,6,989,2.248,Raridade
139,43956103,2021-02-19,2021-02-21,Casa inteira em Parque Balneario Oasis,Super Promoção - 90 metros da Praia - com Wi-Fi,15 hóspedes,3 quartos,8 camas,4 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.67,6,592,1.484,Novo preço mais baixo
140,21527249,2021-02-19,2021-02-21,Casa inteira em Peruíbe,Casa em Balneário Arpoador - Peruíbe (100m do mar),12 hóspedes,2 quartos,9 camas,2 banheiros e meio,Wi-Fi,Cozinha,Permitido animais,Máquina de Lavar,4.56,9,410,970,Novo preço mais baixo
141,45722207,2021-02-19,2021-02-21,Casa inteira em Parque Oasis,Casa aconchegante,8 hóspedes,3 quartos,6 camas,3 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,6,760,1.769,Novo preço mais baixo
153,41130504,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Estacionamento gratuito,Piscina,4.91,35,145,340,Raridade
154,46879880,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 5 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,158,375,Novo preço mais baixo
155,46690967,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,5,158,375,Novo preço mais baixo
156,22587763,2021-02-19,2021-02-21,Casa inteira em Peruibe,"Sobrado em frente à praia Beira-mar, Peruíbe.Wi-Fi",10 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,4.85,109,235,470,Novo preço mais baixo
158,40947313,2021-02-19,2021-02-21,Casa inteira em Balneário Garça Vermelha,"Casa do Guaraú
Duas suítes a 500metros da praia",6 hóspedes,2 quartos,3 camas,3 banheiros,Wi-Fi,Self check-In,Ar-condicionado,Máquina de Lavar,5.0,16,330,810,Novo preço mais baixo
159,45771317,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 1 Master Família varanda ""Nascer do Sol """,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,226,511,Novo preço mais baixo
161,45760542,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 6 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,158,375,Novo preço mais baixo
162,45771317,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 1 Master Família varanda ""Nascer do Sol """,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,226,511,Novo preço mais baixo
165,41062060,2021-02-26,2021-02-28,Casa inteira em Vila Peruibe,Condomínio Bonganville 3,10 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.53,30,457,913,Raridade
166,20194437,2021-02-26,2021-02-28,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Piscina,5.0,15,350,799,Novo preço mais baixo
167,41576021,2021-02-26,2021-02-28,Casa inteira em Parque Oasis,"Casa em Peruibe,100mt da praia",12 hóspedes,5 quartos,9 camas,4 banheiros,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,4.67,16,528,1.255,Novo preço mais baixo
169,46937984,2021-02-19,2021-02-21,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.67,3,1.022,2.192,Novo preço mais baixo
170,45590553,2021-02-19,2021-02-21,Casa inteira em Vila Romar,Casa de praia com piscina 15 pessoas em Peruíbe SP,15 hóspedes,5 quartos,8 camas,5 banheiros,Piscina,Cozinha,Estacionamento gratuito,Permitido animais,4.67,3,913,1.826,Novo preço mais baixo
172,20194437,2021-02-19,2021-02-21,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,5.0,15,350,799,Novo preço mais baixo
173,33703620,2021-02-26,2021-02-28,Casa inteira em Balneario São João Batista II,"Casa Inteira, espaçosa e super aconchegante ;)",8 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Secadora,Cozinha,Estacionamento gratuito,5.0,27,246,592,Novo preço mais baixo
174,43956103,2021-02-19,2021-02-21,Casa inteira em Parque Balneario Oasis,Super Promoção - 90 metros da Praia - com Wi-Fi,15 hóspedes,3 quartos,8 camas,4 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.67,6,592,1.484,Novo preço mais baixo
190,20194437,2021-02-19,2021-02-21,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,15,350,799,Novo preço mais baixo
192,32547945,2021-02-19,2021-02-21,Casa inteira em Estância Balneária Belmira Nova,CASA PRAIA PERUÍBE 340m PISCINA WIFI CHURRASQUEIRA,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.92,13,684,1.518,Novo preço mais baixo
