,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
1543,3,2,3,50,6,40.0,9,0,0,0,0.0047517224994060355,1,0,457.0
1544,3,1,2,23,4,55.0,11,0,0,0,0.02066999287241625,0,0,236.0
1545,2,3,8,7,6,69.5,6,0,0,1,0.0002375861249703017,0,0,581.0
1546,2,0,8,6,5,60.0,7,0,0,0,0.007840342124019958,0,1,214.0
1547,1,2,5,49,6,90.0,4,0,0,0,0.08885721073889286,1,0,452.0
1548,2,1,1,3,2,90.0,8,0,0,0,0.0030886196246139226,1,0,166.0
1549,2,1,2,6,4,64.5,7,0,0,0,0.06319790924210028,1,0,303.0
1550,2,2,4,9,4,35.0,7,0,0,0,0.0040389641244951285,1,0,290.0
1551,3,1,2,29,3,25.0,12,0,0,0,0.00546448087431694,1,0,145.0
1552,3,1,4,107,3,47.0,10,0,0,0,0.08885721073889286,0,0,144.0
1553,2,1,3,55,4,44.5,8,0,0,0,0.0016631028747921119,0,0,211.0
1554,3,2,4,48,4,92.0,9,0,0,0,0.00047517224994060353,1,0,635.0
1555,2,1,1,23,5,40.0,6,0,0,0,0.029698265621287717,0,0,225.0
1556,3,1,3,35,6,44.5,12,0,0,0,0.006177239249227845,0,0,161.0
1557,2,2,2,30,6,99.5,8,0,0,0,0.0016631028747921119,1,0,585.0
1558,3,2,9,43,10,125.0,11,0,0,0,0.004989308624376337,1,0,360.0
1559,3,1,1,5,2,29.5,9,0,0,0,0.01805654549774293,1,0,158.0
1560,2,1,2,10,4,29.5,7,0,0,0,0.029698265621287717,0,0,180.0
1561,2,1,2,43,4,0.0,8,0,0,0,0.04276550249465432,0,0,251.0
1562,4,1,1,104,4,24.5,15,0,0,1,0.02066999287241625,0,0,164.0
1563,2,1,3,4,4,49.5,7,0,0,0,0.015205511998099313,0,1,236.0
1564,1,1,1,15,4,50.0,4,0,0,0,0.02066999287241625,0,0,264.0
1565,3,1,4,107,3,47.0,9,0,0,0,0.08885721073889286,0,0,144.0
1566,3,1,2,31,3,0.0,9,0,0,0,0.002613447374673319,0,1,194.0
1567,2,1,1,109,3,40.0,6,0,0,0,0.08885721073889286,0,0,177.0
1568,3,1,1,12,6,59.5,11,0,0,0,0.007840342124019958,1,0,226.0
1569,4,1,5,70,5,59.5,14,0,0,0,0.08885721073889286,0,0,237.0
1570,3,1,4,79,6,0.0,9,0,1,0,0.01876930387265384,0,0,136.0
1571,3,2,2,10,6,89.5,10,0,0,0,0.00047517224994060353,1,0,594.0
1572,3,1,4,38,2,50.0,11,0,0,0,0.018294131622713237,0,0,110.0
1573,3,4,11,22,8,109.5,10,1,0,0,0.0009503444998812071,0,0,629.0
1574,4,1,2,33,4,75.0,14,0,0,0,0.06319790924210028,1,0,410.0
1575,3,1,1,104,4,24.5,10,0,0,0,0.02066999287241625,0,0,164.0
1576,3,1,2,49,4,0.0,10,0,0,0,0.08885721073889286,1,0,294.0
1577,3,2,2,84,6,0.0,9,0,0,0,0.02946067949631741,0,0,286.0
1578,3,1,1,42,2,54.5,11,0,0,0,0.033499643620812536,0,0,145.0
1579,3,1,1,17,2,42.5,12,0,0,0,0.05203136136849608,1,0,109.0
1580,1,2,4,25,6,74.5,4,0,0,0,0.018294131622713237,0,0,302.0
1581,2,1,2,51,3,40.0,8,0,0,0,0.06319790924210028,0,1,108.0
1582,3,2,8,7,10,0.0,9,0,0,0,0.0030886196246139226,1,0,351.0
1583,3,2,3,33,5,0.0,12,0,0,0,0.057020669992872426,1,0,314.0
1584,3,1,4,242,5,24.5,9,0,0,0,0.033499643620812536,0,0,164.0
1585,4,1,3,58,4,34.5,13,0,0,0,0.04276550249465432,0,0,203.0
1586,3,1,3,18,4,40.0,10,0,0,0,0.02257068187217866,1,0,211.0
1587,3,1,1,18,3,40.0,12,0,0,0,0.033499643620812536,1,0,149.0
1588,2,1,5,142,4,50.0,7,0,0,0,0.04276550249465432,0,0,377.0
1589,2,2,4,11,6,115.0,8,0,0,0,0.011879306248515086,0,0,374.0
1590,3,2,4,67,6,29.5,11,0,0,0,0.02946067949631741,0,0,256.0
1591,3,3,9,12,12,49.5,10,0,0,0,0.002851033499643621,1,0,321.0
1592,3,1,2,41,4,90.0,12,0,0,0,0.033499643620812536,0,0,259.0
1593,3,2,4,25,8,99.5,9,0,0,0,0.0066524114991684475,1,0,470.0
1594,2,1,3,4,4,39.5,6,0,0,0,0.014492753623188406,0,0,149.0
1595,2,1,3,3,6,39.5,7,0,0,0,0.011879306248515086,0,1,271.0
1596,3,1,1,3,2,29.5,12,0,0,0,0.01805654549774293,1,0,158.0
1597,3,1,1,104,4,24.5,12,0,0,0,0.02066999287241625,0,0,164.0
1598,4,1,1,12,6,24.5,17,0,0,0,0.007840342124019958,1,1,222.0
1599,3,1,3,54,4,40.0,10,0,0,0,0.0137799952482775,0,0,188.0
1600,4,1,4,105,3,47.0,16,0,0,0,0.08885721073889286,0,0,150.0
1601,4,1,1,8,3,70.0,15,0,0,1,0.015205511998099313,0,0,238.0
1602,3,3,11,29,12,59.5,12,0,0,0,0.0019006889997624141,1,0,380.0
1603,3,1,1,15,2,39.5,10,0,0,0,0.026847232121644096,1,0,191.0
1604,2,1,3,13,5,39.5,7,0,0,0,0.0040389641244951285,0,1,400.0
1605,2,1,1,281,2,39.5,7,0,1,0,0.00047517224994060353,0,0,166.0
1606,3,1,3,269,4,0.0,11,0,0,0,0.01235447849845569,0,0,123.0
1607,4,1,4,164,4,29.5,13,0,0,0,0.04276550249465432,0,1,210.0
1608,2,1,2,85,6,25.0,7,0,0,0,0.015443098123069612,0,1,266.0
1609,3,2,1,21,16,25.0,11,0,0,0,0.002851033499643621,1,0,336.0
