,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
5239,38615495,2021-03-05,2021-03-07,Casa inteira em Peruíbe,16,5,16,4,4.93,27,578.0,1415.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,False
4618,45760542,2021-03-26,2021-03-28,Parque Balneario Oasis,2,1,1,1,5.0,3,158.0,375.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
132,39258935,2021-02-19,2021-02-21,Guarujá,4,1,3,1,4.83,58,236.0,542.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
1093,27781045,2021-02-19,2021-02-21,Barra Funda,5,3,4,2,5.0,58,315.0,445.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1483,44642259,2021-03-19,2021-03-21,Guilhermina,6,2,7,3,4.96,25,254.0,628.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1446,41406971,2021-03-19,2021-03-21,Forte,5,2,4,2,5.0,14,209.0,628.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1183,36550628,2021-03-19,2021-03-21,Gonzaga,4,1,2,1,4.98,51,263.0,605.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,False
289,35258533,2021-02-12,2021-02-14,José Menino,4,1,2,1,4.94,33,455.0,1059.0000000000002,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
1824,46989665,2021-02-12,2021-02-14,José Menino,3,1,2,1,5.0,4,201.0,541.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False
179,45222834,2021-02-26,2021-02-28,Jardim Asturias,5,2,3,3,4.86,21,528.0,1255.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
589,45740885,2021-03-05,2021-03-07,Ilha Porchat,2,1,1,1,5.0,12,293.0,685.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2525,36625620,2021-04-23,2021-04-25,Santos,4,1,2,1,4.97,30,208.0,536.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,True
4563,39557518,2021-03-26,2021-03-28,Casa inteira em Balneário Tupy,11,3,11,3,4.93,31,415.0,1029.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
