,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
473,36757068,2021-03-05,2021-03-07,Balneario Cidade Atlantica,Apartamento Guarujá 300m Praia Enseada,5,3,4,2 e meio,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.98,40,216.0,582.0,Novo preço mais baixo
474,42517975,2021-03-05,2021-03-07,São Vicente,Ótima localização frente ao mar Praia Itararé,2,1,2,1,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,4.36,11,108.0,285.0,Novo preço mais baixo
475,45271945,2021-03-05,2021-03-07,Centro,DEMAIS!!! 50 Metros praia de Pitangueiras!,4,1,1,1,Wi-Fi,Cozinha,Permitido animais,Elevador,4.33,12,214.0,548.0,Raridade
476,31952361,2021-03-05,2021-03-07,Centro,"Apto frente ao mar c/ playground, ar cond. e Wi-Fi",6,Estúdio,2,1,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.59,71,187.0,434.0,Raridade
477,47580107,2021-03-05,2021-03-07,Jardim Las Palmas,Guarujá piscina ar wi-fi próximo a praia 6 pessoas,6,2,4,2,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.75,4,296.0,742.0,Raridade
478,45884578,2021-03-05,2021-03-07,Itararé,"Lindo Kit Novíssimo, Pé na Areia no Itararé.",2,Estúdio,4,1,Wi-Fi,Cozinha,Elevador,Vista para as águas,5.0,12,155.0,389.0,Novo preço mais baixo
479,5873475,2021-03-12,2021-03-14,Guarujá,Lindo Apartamento a 300M da praia,4,2,3,1,Cozinha,Permitido animais,Elevador,Self check-In,4.68,75,211.0,502.0,Novo preço mais baixo
480,39216218,2021-03-12,2021-03-14, São Vicente,Kit Veraneio - Vista total para o mar,3,1,1,1,Cozinha,Elevador,Self check-In,Vista para o mar,4.96,52,144.0,388.0,Raridade
481,20193688,2021-03-12,2021-03-14,Jardim Las Palmas,Astúrias Apto aconchegante perto da praia,2,1,1,1,Ar-condicionado,Piscina,Cozinha,Estacionamento gratuito,4.82,46,228.0,456.0,Novo preço mais baixo
482,40190612,2021-03-12,2021-03-14,Jardim Tres Marias,Cobertura linda com churrasqueira privativa e wifi,7,2,6,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.94,32,247.0,644.0,Raridade
483,16256715,2021-03-12,2021-03-14,Guarujá,Proximo a praia para até 6 pessoas!,6,3,4,2,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.81,58,223.0,536.0,Raridade
484,46115874,2021-03-12,2021-03-14,Boqueirão,"#flat85 - WiFi, Piscina, Churrasqueira e Garagem",2,1,1,1,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.93,15,191.0,461.0,Raridade
485,38039978,2021-03-05,2021-03-07,Santos,Estanconfor Santos com Vista Mar,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.63,49,300.0,599.0,Raridade
486,36550628,2021-03-05,2021-03-07,Gonzaga,Flat Estanconfor Santos - uma quadra da praia,4,1,2,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.98,51,263.0,605.0,Raridade
