Unnamed: 0,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Superhost,Preço/Noite,Preço com taxas
7132,29684686,2021-03-26,2021-03-28,Casa inteira em Peruíbe,Casa do Carlos  em Peruíbe.,4,Estúdio,1,1,Wi-Fi,Ar-condicionado,Máquina de Lavar,Piscina,4.94,68,Raridade,237.0,593.0
7134,44642259,2021-03-26,2021-03-28,Guilhermina,"Apto c/vista pro Mar Praia Grande, 2 vagas garagem",6,2,7,3,Wi-Fi,Vista para o mar,Elevador,Ar-condicionado,4.96,26,Raridade,237.0,593.0
7135,37617267,2021-03-26,2021-03-28,Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - BOULEVARD 1812,4,1,3,1,Vista para o mar,Elevador,Ar-condicionado,Piscina,4.72,32,Raridade,226.0,452.0
7139,46800604,2021-03-12,2021-03-14,Vila Assuncao,"Predio Frente ao Mar, Apartamento Reformado.",6,Estúdio,6,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.88,8,Raridade,121.0,342.0
7140,22868881,2021-03-12,2021-03-14,Nova Mirim,Apartamento Na Ocian com *WiFi e vaga de garagem!,6,1,3,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.89,46,Raridade,200.0,399.0
7141,46551298,2021-03-12,2021-03-14,Jardim Riveira,Apartamento inteiro em frente a praia - 7 lugares,7,1,5,2,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,Raridade,201.0,501.0
7142,38460602,2021-03-26,2021-03-28,Centro,"Peruibe com piscina, churrasqueira, frente a praia",5,1,4,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.75,45,Novo preço mais baixo,261.0,571.0
7143,21753308,2021-03-19,2021-03-21,Santo Amaro,Studio Now - Moderno - ZonaSul - Ótima Localização,3,1,2,1,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.9,173,Raridade,139.0,342.0
7144,41590205,2021-03-26,2021-03-28,Casa inteira em Jd Marcia II,"WI-FI Grátis - 3 Dorms, 3WC , QUARTEIRÃO DA PRAIA.",10,3,6,3 e meio,Wi-Fi,Máquina de Lavar,Cozinha,Estacionamento gratuito,4.96,24,Raridade,292.0,673.0
7145,41937959,2021-03-12,2021-03-14,Guilhermina,Apto frente  para o mar- Maracanã -Praia Grande-SP,6,1,2,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,4.95,19,Raridade,181.0,502.0
